                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.2026,                0.55219,                 1.2755,                0.98004,                0.97095,                 0.9846,                0.64753,                 1.2506,                0.45809,                  1.391,               0.005248,               0.005248,               0.005248
                     50,                 1.1895,                0.55666,                 1.2737,                0.97972,                0.97255,                0.98527,                0.64997,                 1.2387,                0.44809,                 1.3821,               0.005149,               0.005149,               0.005149
                     51,                 1.1705,                0.54366,                 1.2574,                 0.9773,                0.97485,                0.98445,                0.65246,                 1.2267,                0.44676,                 1.3727,                0.00505,                0.00505,                0.00505
                     52,                 1.1672,                0.54058,                  1.264,                 0.9751,                0.97699,                0.98379,                0.65728,                 1.2114,                0.44049,                 1.3631,               0.004951,               0.004951,               0.004951
                     53,                 1.1579,                0.53305,                 1.2544,                0.97817,                0.97448,                 0.9842,                0.65999,                 1.2013,                0.43415,                 1.3571,               0.004852,               0.004852,               0.004852
                     54,                 1.1371,                0.52793,                 1.2379,                0.98176,                 0.9752,                0.98605,                 0.6638,                 1.1869,                0.42913,                  1.352,               0.004753,               0.004753,               0.004753
                     55,                 1.1234,                0.52146,                 1.2348,                0.98069,                0.97699,                0.98394,                0.66856,                 1.1757,                0.42458,                  1.343,               0.004654,               0.004654,               0.004654
                     56,                 1.1142,                0.51195,                 1.2222,                0.98125,                0.97664,                0.98511,                0.67429,                 1.1635,                0.41941,                 1.3334,               0.004555,               0.004555,               0.004555
                     57,                 1.1037,                0.50915,                 1.2185,                0.98111,                0.97735,                 0.9859,                0.67854,                 1.1503,                0.41249,                 1.3286,               0.004456,               0.004456,               0.004456
                     58,                 1.0917,                0.50274,                  1.206,                0.98431,                0.97448,                0.98429,                0.68082,                 1.1416,                0.41044,                 1.3223,               0.004357,               0.004357,               0.004357
                     59,                 1.0796,                0.50118,                 1.2049,                0.98139,                0.97807,                0.98609,                0.68362,                  1.133,                0.40954,                 1.3182,               0.004258,               0.004258,               0.004258
                     60,                 1.0552,                0.48379,                 1.1916,                0.98088,                0.97843,                0.98658,                0.68739,                 1.1213,                0.40477,                 1.3124,               0.004159,               0.004159,               0.004159
                     61,                 1.0457,                0.48129,                 1.1851,                0.98484,                0.97268,                0.98589,                0.68996,                 1.1099,                0.40194,                 1.3036,                0.00406,                0.00406,                0.00406
                     62,                 1.0305,                0.47192,                 1.1778,                 0.9851,                0.97461,                0.98602,                0.69333,                 1.0989,                0.39832,                 1.2988,               0.003961,               0.003961,               0.003961
                     63,                 1.0304,                0.47278,                 1.1723,                0.98297,                0.97538,                0.98493,                0.69868,                  1.089,                0.39584,                 1.2926,               0.003862,               0.003862,               0.003862
                     64,                 1.0092,                0.46241,                 1.1621,                 0.9856,                0.97304,                0.98536,                0.70059,                 1.0767,                0.39206,                  1.288,               0.003763,               0.003763,               0.003763
                     65,                0.99743,                0.45895,                 1.1591,                0.98478,                0.97664,                0.98707,                0.70542,                 1.0672,                0.38806,                  1.281,               0.003664,               0.003664,               0.003664
                     66,                0.99133,                0.45716,                 1.1523,                0.98527,                0.97664,                0.98701,                0.70776,                 1.0569,                0.38514,                 1.2762,               0.003565,               0.003565,               0.003565
                     67,                0.98425,                0.45659,                 1.1534,                 0.9855,                0.97592,                0.98751,                0.70915,                 1.0459,                0.38106,                 1.2706,               0.003466,               0.003466,               0.003466
                     68,                0.96709,                0.44479,                 1.1386,                 0.9865,                0.97771,                0.98923,                0.71239,                 1.0374,                0.37831,                 1.2654,               0.003367,               0.003367,               0.003367
                     69,                0.95134,                0.43889,                 1.1329,                0.98658,                0.97879,                0.98775,                0.71621,                 1.0271,                0.37654,                 1.2587,               0.003268,               0.003268,               0.003268
                     70,                0.93911,                0.43618,                 1.1225,                0.98361,                0.97771,                0.98569,                 0.7194,                  1.018,                0.37333,                 1.2531,               0.003169,               0.003169,               0.003169
                     71,                0.93407,                0.43251,                  1.123,                 0.9855,                0.97729,                0.98598,                0.72163,                 1.0084,                0.37109,                  1.249,                0.00307,                0.00307,                0.00307
                     72,                0.92183,                0.42691,                 1.1099,                0.98461,                0.97771,                0.98592,                0.72476,                0.99985,                0.37002,                 1.2448,               0.002971,               0.002971,               0.002971
                     73,                0.91017,                 0.4218,                 1.1083,                0.98497,                0.97843,                0.98651,                0.72593,                0.99384,                0.36843,                 1.2431,               0.002872,               0.002872,               0.002872
                     74,                0.89958,                0.42068,                 1.1035,                 0.9852,                0.97807,                0.98654,                0.72951,                0.98702,                0.36573,                 1.2399,               0.002773,               0.002773,               0.002773
                     75,                0.88842,                 0.4171,                 1.1004,                0.98414,                0.97807,                0.98616,                0.73223,                0.97983,                0.36548,                 1.2358,               0.002674,               0.002674,               0.002674
                     76,                0.87936,                0.41252,                  1.091,                 0.9836,                0.97807,                0.98511,                0.73356,                0.97191,                0.36313,                 1.2335,               0.002575,               0.002575,               0.002575
                     77,                0.86192,                0.41098,                  1.081,                0.98554,                0.97978,                0.98641,                0.73655,                0.96481,                0.36165,                 1.2305,               0.002476,               0.002476,               0.002476
                     78,                0.85583,                0.39776,                 1.0769,                0.98312,                0.97951,                0.98589,                0.73799,                0.95879,                0.35874,                 1.2274,               0.002377,               0.002377,               0.002377
                     79,                0.84448,                0.39594,                 1.0746,                0.98423,                0.97915,                0.98622,                0.73865,                0.95232,                0.35691,                 1.2245,               0.002278,               0.002278,               0.002278
                     80,                0.83682,                0.39202,                 1.0679,                0.98528,                0.98023,                0.98616,                 0.7406,                 0.9458,                0.35538,                 1.2216,               0.002179,               0.002179,               0.002179
                     81,                0.82752,                0.38797,                 1.0655,                0.98503,                0.97987,                0.98591,                0.74382,                0.93921,                 0.3537,                 1.2188,                0.00208,                0.00208,                0.00208
                     82,                0.81289,                0.38181,                 1.0582,                0.98508,                0.98023,                0.98592,                0.74575,                0.93297,                0.35177,                 1.2162,               0.001981,               0.001981,               0.001981
                     83,                0.80522,                0.38267,                 1.0513,                 0.9858,                0.98023,                0.98614,                0.74684,                0.92654,                0.35071,                 1.2131,               0.001882,               0.001882,               0.001882
                     84,                0.79817,                0.38061,                 1.0489,                0.98585,                0.98023,                0.98614,                0.74779,                0.92063,                0.34831,                 1.2107,               0.001783,               0.001783,               0.001783
                     85,                0.78167,                0.37113,                 1.0403,                0.98718,                0.97879,                0.98622,                0.74843,                0.91496,                0.34596,                  1.208,               0.001684,               0.001684,               0.001684
                     86,                0.78008,                0.36906,                 1.0428,                0.98752,                0.97843,                0.98596,                0.75065,                0.90975,                0.34465,                 1.2058,               0.001585,               0.001585,               0.001585
                     87,                0.76809,                0.36745,                 1.0347,                0.98758,                0.97807,                0.98582,                0.75301,                0.90466,                0.34278,                 1.2038,               0.001486,               0.001486,               0.001486
                     88,                 0.7533,                0.35894,                 1.0281,                0.98553,                0.97771,                0.98516,                0.75406,                0.89967,                0.34203,                 1.2017,               0.001387,               0.001387,               0.001387
                     89,                0.74469,                0.35789,                  1.018,                 0.9868,                0.97664,                0.98533,                0.75702,                0.89521,                0.34028,                 1.2002,               0.001288,               0.001288,               0.001288
                     90,                0.73679,                0.35509,                 1.0184,                0.98657,                0.97683,                0.98545,                0.75812,                0.89027,                0.33944,                 1.1983,               0.001189,               0.001189,               0.001189
                     91,                0.67776,                0.29083,                0.99649,                  0.987,                0.97699,                0.98519,                0.76022,                0.88578,                0.33831,                 1.1961,                0.00109,                0.00109,                0.00109
                     92,                0.65197,                0.28154,                0.98611,                 0.9873,                0.97801,                0.98615,                0.76184,                0.88093,                0.33738,                 1.1942,               0.000991,               0.000991,               0.000991
                     93,                0.63974,                0.27798,                0.97908,                0.98735,                0.97843,                0.98629,                0.76436,                0.87622,                0.33627,                 1.1922,               0.000892,               0.000892,               0.000892
                     94,                0.62424,                0.27422,                0.97034,                0.98787,                0.97915,                0.98708,                 0.7667,                0.87181,                  0.335,                 1.1905,               0.000793,               0.000793,               0.000793
                     95,                0.61442,                0.26845,                0.96336,                0.98775,                0.97915,                0.98714,                0.76835,                0.86785,                0.33375,                 1.1891,               0.000694,               0.000694,               0.000694
                     96,                0.59892,                0.26549,                0.95541,                0.98803,                0.97895,                0.98718,                0.76947,                0.86313,                0.33283,                  1.187,               0.000595,               0.000595,               0.000595
                     97,                 0.5865,                0.26273,                0.94789,                0.98767,                0.97871,                0.98676,                0.77077,                0.85907,                0.33154,                 1.1847,               0.000496,               0.000496,               0.000496
                     98,                 0.5759,                0.26003,                0.94307,                0.98767,                0.97872,                0.98665,                0.77194,                0.85536,                0.33041,                 1.1833,               0.000397,               0.000397,               0.000397
                     99,                0.56608,                0.25609,                0.93985,                0.98839,                  0.979,                 0.9874,                0.77283,                0.85218,                0.32955,                 1.1822,               0.000298,               0.000298,               0.000298
                    100,                0.55749,                0.25415,                0.93111,                0.98802,                0.97843,                0.98723,                 0.7733,                0.84949,                0.32844,                 1.1817,               0.000199,               0.000199,               0.000199
